location_code,location_name,address,latitude,longitude
CL2,59 High St (NS),"59 High Street, Auckland Central, Auckland, New Zealand",-36.848686,174.766039
CL3,45 Queen St (NS),"45 Queen Street, Auckland Central, Auckland, New Zealand",-36.851258,174.764279
CL4,261 Queen St (NS),"261 Queen Street, Auckland Central, Auckland, New Zealand",-36.850792,174.764556
CL5,210 Queen St (NS),"210 Queen Street, Auckland Central, Auckland, New Zealand",-36.848837,174.765597
CL6,183 K Road (EW),"183 K Road, Auckland Central, Auckland, New Zealand",-36.85757,174.760141
CL7,8 Darby St (NS),"8 Darby Street, Auckland Central, Auckland, New Zealand",-36.849558,174.764106
CL8,8 Darby St (EW),"8 Darby Street, Auckland Central, Auckland, New Zealand",-36.849564,174.764605
CL9,Te Ara Tahuhu Walkway (EW),"Te Ara Tahuhu Walkway, Auckland Central, Auckland, New Zealand",-36.84465,174.769645
CL10,205 Queen St (EW),"205 Queen Street, Auckland Central, Auckland, New Zealand",-36.849339,174.76496
CL13,Commerce St West (NS),"Commerce Street West, Auckland Central, Auckland, New Zealand",-36.844912,174.768065
CL14,107 Quay St (EW),"107 Quay Street, Auckland Central, Auckland, New Zealand",-36.84284,174.766448
CL15,1 Courthouse Lane (NS),"1 Courthouse Lane, Auckland Central, Auckland, New Zealand",-36.84817,174.76705
CL17,7 Custom St East (EW),"7 Custom Street East, Auckland Central, Auckland, New Zealand",-36.8483,174.7647
CL18,30 Queen St (NS),"30 Queen Street, Auckland Central, Auckland, New Zealand",-36.844891,174.766765
CL19,150 K Road (EW),"150 K Road, Auckland Central, Auckland, New Zealand",-36.858145,174.760321
CL20,19 Shortland St (EW),"19 Shortland Street, Auckland Central, Auckland, New Zealand",-36.846576,174.766946
CL21,2 High St (NS),"2 High Street, Auckland Central, Auckland, New Zealand",-36.846853,174.767005
CL22,297 Queen St (NS),"297 Queen Street, Auckland Central, Auckland, New Zealand",-36.852232,174.763915
CL23,61 Federal St (NS),"61 Federal Street, Auckland Central, Auckland, New Zealand",-36.847964,174.762729
CL24,188 Quay St Lower Albert (EW),"188 Quay Street, Auckland Central, Auckland 1010, New Zealand",-36.84293659961442,174.76575154371136
CL25,188 Quay St Lower Albert (NS),"188 Quay Street, Auckland Central, Auckland 1010, New Zealand",-36.84307803994797,174.76585603857444
